x,y
16,325.4
16,339.97
16,324.49
15,273.38
14,254.33
16,320.5
16,324.18
15,306.75
16,317.72
13,246.26
16,283.59
16,309.83
15,298.42
16,328.79
14,291.35
15,282.41
16,292.8
16,296.75
15,288.23
16,325.38
15,302.39
15,294.82
16,289.64
16,292.26
15,282.82
15,299.83
16,320.15
16,318.97
16,294.22
15,257.47
16,315.9
15,296.11
14,294.81
15,305.1
15,284.73
15,278.71
15,272.89
15,306.64
15,286.74
16,324.58
15,281.42
